City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
454,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
458,Alice Town,BS,81.19,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
460,Gasa,PS,84.18,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
466,Inongo,CD,79.07,broken clouds,-1.95,18.2667,Hotel Du Lac
471,Leo,BF,86.31,broken clouds,11.1,-2.1,Hotel Sissilis
475,Kavieng,PG,83.77,few clouds,-2.5744,150.7967,Nusa Island Retreat
479,Mitsamiouli,KM,79.43,scattered clouds,-11.3847,43.2844,Foyer ADM
482,Mazagao,BR,78.85,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
485,Makasar,ID,87.85,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
487,Bonthe,SL,81.27,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
488,Jijiga,ET,76.35,overcast clouds,9.35,42.8,RAMAAS HOTEL
491,Chinhoyi,ZW,85.71,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
492,Mogadishu,SO,81.25,broken clouds,2.0371,45.3438,Hotel Juba
498,Buala,SB,81.88,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
503,Zemio,CF,85.24,overcast clouds,5.0314,25.1361,OCHA Office
505,Kaabong,UG,76.08,broken clouds,3.4836,34.1492,Rock Motel Ltd
514,Kakonko,TZ,86.94,broken clouds,-3.2828,30.9642,Edward Memorial Guest House
517,Faanui,PF,79.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
526,Coahuayana,MX,75.2,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
527,Careiro Da Varzea,BR,83.01,few clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
541,Le Port,RE,80.62,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
547,Teluk Nibung,ID,85.62,overcast clouds,3.001,99.8164,Hotel Assyifa
548,Moerai,PF,77.25,light rain,-22.4333,-151.3333,Le Manotel
553,Mareeba,AU,76.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
557,La Asuncion,VE,79.36,broken clouds,11.0333,-63.8628,Colinas de Matasiete
559,Letlhakane,BW,85.8,clear sky,-21.4167,25.5833,Motswedi Hotel P650
565,Lahat,ID,81.81,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
571,Palakkad,IN,89.65,overcast clouds,10.7833,76.65,Hotel Gazala
573,Augusto Correa,BR,77.86,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
575,Segou,ML,89.24,few clouds,13.4317,-6.2157,Comme chez soi
581,Ravar,IR,77.99,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
586,Inhambane,MZ,80.11,clear sky,-23.865,35.3833,Oceano
588,Serenje,ZM,79.25,clear sky,-13.2325,30.2352,The Kabaso's
592,Kulhudhuffushi,MV,82.71,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
621,Ugoofaaru,MV,82.96,broken clouds,5.6667,73.0,Ungoofaaru Inn
624,Namatanai,PG,81.39,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
626,Iralaya,HN,78.33,clear sky,15.0,-83.2333,Iglesia morava renovada
