City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Paramonga,PE,-10.6667,-77.8333,61.59,90,100,8.55,overcast clouds
69,Kortkeros,RU,61.8106,51.5806,48.2,70,99,7.67,overcast clouds
70,Oistins,BB,13.0667,-59.5333,82.49,78,40,16.11,scattered clouds
71,Saint-Pierre,RE,-21.3393,55.4781,80.29,73,75,13.8,light rain
72,Malakal,SS,9.5334,31.6605,77.79,83,97,4.81,light rain
73,Necochea,AR,-38.5473,-58.7368,56.03,98,100,4.54,light rain
74,Morwell,AU,-38.2333,146.4,59.34,84,91,2.71,overcast clouds
75,Kumano,JP,34.3442,132.5894,76.12,88,62,3.58,broken clouds
76,Rock Sound,BS,24.9,-76.2,81.77,74,56,9.66,broken clouds
77,Vila Velha,BR,-20.3297,-40.2925,70.03,89,89,1.45,overcast clouds
78,Ancud,CL,-41.8697,-73.8203,49.53,91,100,18.84,light rain
79,Avarua,CK,-21.2078,-159.775,75.25,69,20,6.91,few clouds
80,Kapaa,US,22.0752,-159.319,78.78,83,75,1.01,light rain
81,Poum,NC,-20.2333,164.0167,74.46,82,43,11.05,scattered clouds
82,Solnechnyy,RU,50.7214,136.6319,47.84,72,100,5.57,overcast clouds
83,Castro,BR,-24.7911,-50.0119,57.63,90,98,6.06,overcast clouds
84,Ballina,AU,-28.8667,153.5667,64.58,76,85,12.71,overcast clouds
85,San Andres,CO,12.5847,-81.7006,78.82,89,20,2.3,few clouds
86,Vardo,NO,70.3705,31.1107,41.2,71,41,23.53,scattered clouds
87,Tasiilaq,GL,65.6145,-37.6368,30.36,57,0,5.3,clear sky
88,Aswan,EG,24.0934,32.907,99.16,17,1,8.03,clear sky
89,Bama,NG,11.5221,13.6856,92.53,22,9,8.23,clear sky
90,Cervo,ES,43.6702,-7.4101,62.96,73,1,15.75,clear sky
91,Bluff,NZ,-46.6,168.3333,46.85,72,100,6.13,overcast clouds
92,Tuatapere,NZ,-46.1333,167.6833,43.95,81,100,2.42,overcast clouds
93,Beira,MZ,-19.8436,34.8389,79.57,50,0,8.39,clear sky
94,San Cristobal,VE,7.7669,-72.225,64.35,93,90,1.68,overcast clouds
95,Vaini,TO,-21.2,-175.2,62.76,100,20,0.0,few clouds
96,Zhangjiakou,CN,40.81,114.8794,57.51,65,100,2.42,overcast clouds
97,Thompson,CA,55.7435,-97.8558,39.36,93,90,5.75,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,45.63,86,95,17.16,overcast clouds
99,Port Hedland,AU,-20.3167,118.5667,86.05,35,0,10.36,clear sky
100,Naze,JP,28.3667,129.4833,77.22,81,97,13.27,overcast clouds
101,Tiksi,RU,71.6872,128.8694,20.7,89,95,14.2,overcast clouds
102,Albany,US,42.6001,-73.9662,55.62,95,0,1.52,clear sky
103,Mahebourg,MU,-20.4081,57.7,77.25,79,66,11.86,light rain
104,Yulara,AU,-25.2406,130.9889,75.45,12,0,13.27,clear sky
105,Okmulgee,US,35.6234,-95.9605,77.11,88,90,21.85,overcast clouds
106,Itacarambi,BR,-15.1022,-44.0919,70.0,91,68,4.7,broken clouds
107,Talnakh,RU,69.4865,88.3972,18.3,96,98,7.0,overcast clouds
108,Hinton,CA,53.4001,-117.5857,32.76,88,100,4.05,light snow
109,Norman Wells,CA,65.282,-126.8329,26.13,98,83,1.97,broken clouds
110,Chengde,CN,40.9725,117.9361,55.2,65,64,1.95,broken clouds
111,Dabhol,IN,17.6,73.1667,86.9,60,16,5.46,few clouds
112,Suez,EG,29.9737,32.5263,88.09,29,60,15.7,broken clouds
113,Kasongo-Lunda,CD,-6.4667,16.8167,87.69,48,44,2.55,scattered clouds
114,Anloga,GH,5.7947,0.8973,83.28,77,29,10.47,scattered clouds
115,Laguna,US,38.421,-121.4238,55.92,48,1,1.01,clear sky
116,Muroto,JP,33.2833,134.15,76.24,84,9,5.55,clear sky
117,Thinadhoo,MV,0.5333,72.9333,83.7,75,54,17.58,broken clouds
118,Upernavik,GL,72.7868,-56.1549,32.13,73,100,7.09,overcast clouds
119,Tuscaloosa,US,33.2098,-87.5692,70.21,93,1,4.61,clear sky
120,Cangzhou,CN,38.3167,116.8667,65.73,47,10,1.52,clear sky
121,Valdosta,US,30.8327,-83.2785,63.99,96,1,0.0,clear sky
122,Castro Marim,PT,37.2207,-7.4435,69.78,64,0,1.25,clear sky
123,Raudeberg,NO,61.9875,5.1352,45.19,90,100,8.99,light rain
124,Nanortalik,GL,60.1432,-45.2371,39.43,74,10,4.52,clear sky
125,Hithadhoo,MV,-0.6,73.0833,84.07,70,52,18.99,broken clouds
126,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.03,86,65,6.76,broken clouds
127,Hervey Bay,AU,-25.2986,152.8535,74.03,80,34,12.86,scattered clouds
128,Zyryanka,RU,65.75,150.85,20.16,93,100,13.38,light snow
129,Ostrovnoy,RU,68.0531,39.5131,43.47,78,93,10.29,overcast clouds
130,Puerto Madryn,AR,-42.7692,-65.0385,60.22,52,15,12.66,few clouds
131,Victoria,HK,22.2855,114.1577,81.25,93,100,5.99,light rain
132,Guerrero Negro,MX,27.9769,-114.0611,64.06,62,0,11.45,clear sky
133,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,94,75,9.22,broken clouds
134,Klaksvik,FO,62.2266,-6.589,52.72,88,100,26.08,overcast clouds
135,Dunedin,NZ,-45.8742,170.5036,45.81,85,100,5.99,overcast clouds
136,Kayes,ML,14.0,-11.0,84.07,65,22,6.78,few clouds
137,Domoni,KM,-12.2569,44.5319,83.23,64,100,8.14,overcast clouds
138,Victoria Point,AU,-27.5833,153.3,70.02,87,73,1.99,broken clouds
139,Ixtapa,MX,20.7,-105.2,78.22,92,100,1.99,overcast clouds
140,Muravlenko,RU,63.7898,74.523,31.93,97,100,15.66,light snow
141,Leningradskiy,RU,69.3833,178.4167,20.03,93,100,2.75,overcast clouds
142,San Quintin,MX,30.4833,-115.95,55.44,54,0,5.08,clear sky
143,Rafai,CF,4.95,23.9167,81.19,64,98,2.1,overcast clouds
144,Khatanga,RU,71.9667,102.5,12.29,96,99,7.16,overcast clouds
145,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,100,90,13.8,moderate rain
146,Chapleau,CA,47.8405,-83.4034,57.43,96,91,0.69,overcast clouds
147,Giyon,ET,8.5333,37.9833,71.67,57,65,8.01,broken clouds
148,Kaitangata,NZ,-46.2817,169.8464,44.28,81,100,5.84,overcast clouds
149,Coquimbo,CL,-29.9533,-71.3436,51.53,76,0,4.61,clear sky
